,created_at,full_text,likes_count,mentioning_users/0,mentioning_users/1,mentioning_users/2,mentioning_users/3,mentioning_users/4,mentioning_users/5,mentioning_users/6,mentioning_users/7,mentioning_users/8,mentioning_users/9,mentioning_users/10,mentioning_users/11,mentioning_users/12,mentioning_users/13,mentioning_users/14,mentioning_users/15,played_count,quotes_count,replies_count,replying_to/0,replying_to/1,replying_to/2,replying_to/3,replying_to/4,replying_to/5,replying_to/6,replying_to/7,replying_to/8,replying_to/9,replying_to/10,replying_to/11,replying_to/12,replying_to/13,replying_to/14,replying_to/15,replying_to/16,replying_to/17,replying_to/18,replying_to/19,replying_to/20,replying_to/21,replying_to/22,replying_to/23,replying_to/24,replying_to/25,replying_to/26,replying_to/27,replying_to/28,replying_to/29,replying_to/30,replying_to/31,replying_to/32,replying_to/33,replying_to/34,replying_to/35,replying_to/36,replying_to/37,replying_to/38,replying_to/39,replying_to/40,replying_to/41,replying_to/42,replying_to/43,replying_to/44,replying_to/45,replying_to/46,replying_to/47,retweeted_by,retweets_count,tweet_hashtags/0,tweet_hashtags/1,tweet_hashtags/2,tweet_hashtags/3,tweet_hashtags/4,tweet_hashtags/5,tweet_hashtags/6,tweet_hashtags/7,tweet_hashtags/8,tweet_hashtags/9,tweet_hashtags/10,tweet_hashtags/11,tweet_hashtags/12,tweet_hashtags/13,tweet_hashtags/14,tweet_hashtags/15,tweet_hashtags/16,tweet_hashtags/17,tweet_hashtags/18,tweet_hashtags/19,tweet_hashtags/20,tweet_hashtags/21,tweet_hashtags/22,tweet_hashtags/23,tweet_id,tweet_links/0,tweet_links/1,tweet_links/2,tweet_links/3,url,user_is_verified,user_name,language
9,Tue May 16 20:46:00 +00:00 2023,Papillomavirus : les mensonges de la propagande ?? #Gardasil face ‡ la rÈalitÈ scientifique resistancerepublicaine.com/2Ö,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,3,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1658574733087059970,https://resistancerepublicaine.com/2023/05/16/papillomavirus-les-mensonges-de-la-propagande-gardasil-face-a-la-realite-scientifique/,,,,https://twitter.com/Pilotte_daniel/status/1658574733087059970,true,906dbf29,fr
23,Thu Jul 27 19:32:00 +00:00 2023,"Data speaks for itself. Thank you @AaronSiriSG !""Part 13 / 17""#truth #news #health @ICANdecide #Vaccines #DiedSuddenly #CDC #FDA #Fauci #influenza #pfizer #PfizerKnew #moderna #HPV #Merck #Gardasil",19,e693a2e9,78f282da,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,11,#truth,#news,#health,#Vaccines,#DiedSuddenly,#CDC,#FDA,#Fauci,#influenza,#pfizer,#PfizerKnew,#moderna,#HPV,#Merck,#Gardasil,,,,,,,,,,1684647878323769344,,,,,https://twitter.com/DrJudyAMikovits/status/1684647878323769344,true,098ccb93,en
32,Thu Jul 27 06:20:00 +00:00 2023,"??#GARDASIL bÈnÈfices risques, qui croire lorsque les effets secondaires se multiplient. piped.video/AgvY-EdSHLg",30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,38,,,,,,,,,,,,,,,,,,,,,,,,,1684448719410798594,https://piped.video/AgvY-EdSHLg,,,,https://twitter.com/Resistance_SM/status/1684448719410798594,true,abd0d0bf,fr
68,Tue May 02 17:58:00 +00:00 2023,??????? ?? ????? ??? ????? ?????? ??????  #Garadasil9 #?????_???_????? #... piped.video/188kaJQR2Xw via @YouTube! ??? ??????? ????? ?? ??? ?? ????? ?? ????? ??? ????? ??????? ??????? ???????? ?? ??????? ???? ???? ???? ????? ?? ???????! #gardasil #HPV_vaccine,12,f6961215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Garadasil9,#?????_???_?????,#...,#gardasil,#HPV_vaccine,,,,,,,,,,,,,,,,,,,,1653458893467426816,https://piped.video/188kaJQR2Xw,,,,https://twitter.com/AlZirqi/status/1653458893467426816,true,7a7949d8,it
69,Sun Apr 30 10:32:00 +00:00 2023,"Merck beats first-quarter expectations on Keytruda, Gardasil strength #Merck #Mercknews #cancer #financialresults #keytruda #Gardasil #HPVvaccine #molnupiravir #Lagevrio #q1results medicaldialogues.in/news/indÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Merck,#Mercknews,#cancer,#financialresults,#keytruda,#Gardasil,#HPVvaccine,#molnupiravir,#Lagevrio,#q1results,,,,,,,,,,,,,,,1652621877494566915,https://medicaldialogues.in/news/industry/pharma/merck-beats-first-quarter-expectations-on-keytruda-gardasil-strength-110740?utm_campaign=pubshare&utm_source=Twitter&utm_medium=3246541758&utm_content=scheduled-link&utm_id=212,,,,https://twitter.com/medicaldialogs/status/1652621877494566915,true,18a0009c,en
82,Sun May 28 22:45:00 +00:00 2023,"m.facebook.com/story.php?stoÖ""The #Gardasil Shot. ""Remember it was marketed as """"""""safe and effective,"""""""" and they encouraged all kids and women, and men, ages of 9-26, to prevent 4 of the most prevalent strains of the Human Papilloma Virus (genital warts), which supposedly, they say can cause cervical cancer?  It causes cervical cancer, neurological injury, and infertility, among other things."" ""Go to: childrenshealthdefense.org/nÖ to find out why this """"""""safe and effective"""""""" vaccine is deadly.  Yet, after our FDA pulled the vaccine off the US market in 2020, after it killed and injured tens of thousands of people-- the same FDA, then approved it's grandparent vaccine, Gardasil9.  Now they market this vax as """"""""safe and effective,"""""""" and just like the first one, it's sold all over the world!   "" ""The annual deaths from cervical cancer in the US are 2.3/100,000 people.  The death rate from Gardasil's clinical trial was 85/100,000, or 37x that of deaths from cervical cancer.""""""""  "" In addition, they dramatically affect fertility!  The trials for both Gardasil and Gardasil9 showed a 25% and 27.4% miscarriage rate respectively, and they contain Polysorbate 80 and Borax.  These two chemicals are known to cause infertility in animals.  They used a deadly chemical, a neurotoxic aluminum adjuvant called AAHS, in their trial for Gardasil and called it a placebo! Placebos are supposed to be saline, or exercise, or something that cannot harm you!  Then guess what they used as a placebo for the Gardasil9 trial?  They used the first Gardasil shot, pulled off the US market, for deaths and injuries.  They then called it a placebo!  Doctors do not read the studies!  They read the summary of the study, which often doesn't even get close to matching the data. ie. Pfizer tried to keep the mRNA gene therapy shots in their #Pfizertrial hidden and confidential for 75 years.  Why do you think that was?  The Pfizer trial data shows an 82% miscarriage rate.  TOTALLY SAFE AND EFFECTIVE.  Of course, #BillGates was heavily involved in the funding, trial manipulation, and marketing via his Center for Global Development, who worked closely with the #CCP and the #WHO. Cgdev.org/blog/gates-funds-nÖ ""Who is the biggest donor to the Center for Global Development?  #TheBillandMelindaGatesFoundation, of course.  What was the CFGD founded to accomplish? The #UN2030 Agenda.  It says so clearly on their website via their """"""""about"""""""" page."" You can go to principled-practice.com/blog to understand the true history of our #CDC and #NIH.  #WakeUpAmerica #luciferian #depopulation #billgatesisevil #NewWorldOrder #Merck #MedicalFraud #healthcaredeaths  I am not an antivaxxer, I am an RN   #vaccinesafetyadvocate, who has learned the #ushealthcare industry has been heavily corrupted, and your health, and your life are often not their priority!  ""Sarah Lawton, RN, BSN, CCM",8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2,#Gardasil,#Pfizertrial,#BillGates,#CCP,#WHO.,"#TheBillandMelindaGatesFoundation,",#UN2030,#CDC,#NIH.,#WakeUpAmerica,#luciferian,#depopulation,#billgatesisevil,#NewWorldOrder,#Merck,#MedicalFraud,#healthcaredeaths,"#vaccinesafetyadvocate,",#ushealthcare,,,,,,1662953328186204163,https://m.facebook.com/story.php?story_fbid=pfbid02jAbEGgK9JnLNgVNBLtzkzVGuR16xXw4u8GfCMCkdb53CrZnSXVoGR7wqEHrQUCCSl&id=1788567372&sfnsn=mo&mibextid=6aamW6,http://childrenshealthdefense.org/news/25-reasons-to-avoid-the-gardasil-vaccine/,http://Cgdev.org/blog/gates-funds-new-hpv-vaccine-program-path,http://principled-practice.com/blog,https://twitter.com/SarahLawtonRN/status/1662953328186204163,true,70b79133,en
100,Fri May 26 06:21:00 +00:00 2023,"Le #Gardasil protËge-t-il des cancers du col de l'utÈrus (#Papilionaires #papillomavirus)?""""crowdbunker.com/v/Tv5bug6S",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Gardasil,#papillomavirus)?,,,,,,,,,,,,,,,,,,,,,,,1661980844704112641,https://crowdbunker.com/v/Tv5bug6S,,,,https://twitter.com/ToursInsoumis/status/1661980844704112641,true,620a3023,fr
104,Wed Jun 07 15:55:00 +00:00 2023,"Thank you @megynkelly for having a truthful discussion about #hpv and #gardasil "" "" open.spotify.com/episode/74xÖ",4,22a00727,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,3,#hpv,#gardasil,,,,,,,,,,,,,,,,,,,,,,,1666473987977650187,https://open.spotify.com/episode/74xE0njNcLa1OYrr7jTmbq?si=XE_FoYJ4S6SAWBQOOJKMeA&context=spotify%3Ashow%3A0awxEJH88Xur0GHXuteBLw,,,,https://twitter.com/ThinkerMichelle/status/1666473987977650187,true,6c9ebe87,en
145,Thu May 18 09:58:00 +00:00 2023,Le #gardasil et tous  les vaccins sont toxiques,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1659136380411232258,,,,,https://twitter.com/manuela_simeone/status/1659136380411232258,true,2a11006c,fr
146,Wed Aug 16 21:26:00 +00:00 2023,On va tous mourrrrriiiiiiiiiiiiiiiiiiiiiiiiiir ! A moins de vous faire vacciner pour 450Ä de shoots et engraisser Big Pharma. Vive le #Gardasil. Merci au Monde pour sa pub gratuite.,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,9,298b2700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,43,#Gardasil.,,,,,,,,,,,,,,,,,,,,,,,,1691924537481232694,,,,,https://twitter.com/LLP_Le_Vrai/status/1691924537481232694,true,8927b614,fr
150,Tue Apr 04 18:41:00 +00:00 2023,"ANOTHER testimony. So much for being """"""""Extremely Safe"""""""" @DonnaHowardTX. "" ""#NotExtremelySafe #Gardasil #HB989 #txlege",5,631ae441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,4,#NotExtremelySafe,#Gardasil,#HB989,#txlege,,,,,,,,,,,,,,,,,,,,,1643322821081169920,,,,,https://twitter.com/TXforVaxChoice/status/1643322821081169920,true,0f3e9762,en
165,Wed Aug 16 14:23:00 +00:00 2023,"Many Unvaccinated Men .... Infected with #HPV "" precisionvaccinations.com/maÖ ""#vaccine #Gardasil #cervicalcancer #pharmacy #hcsm #mHealth",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#HPV,#vaccine,#Gardasil,#cervicalcancer,#pharmacy,#hcsm,#mHealth,,,,,,,,,,,,,,,,,,1691818066005446992,https://www.precisionvaccinations.com/many-unvaccinated-men-infected-hpv-2023-08-16,,,,https://twitter.com/donaldhackett/status/1691818066005446992,true,c8066041,en
182,Fri Apr 14 07:43:00 +00:00 2023,"CSI n∞99 : Surya Arby 13/04/2023 vaccins anti HPV, synthËse des donnÈes mises ‡ jour""vaccins anti HPV ( #Gardasil ) ""crowdbunker.com/v/2Czfyu1J",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1646781236499689472,https://crowdbunker.com/v/2Czfyu1J,,,,https://twitter.com/ToursInsoumis/status/1646781236499689472,true,620a3023,fr
186,Tue Apr 04 14:24:00 +00:00 2023,Do you have an #HPVvaccine #Gardasil injury story to share? Tell Rep @DonnaHowardTX how #NotExtremelySafe this vax is and urge the TX Higher Ed Cmte to vote ìnoî on #HB989 #txlege,6,631ae441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,5,#HPVvaccine,#Gardasil,#NotExtremelySafe,#HB989,#txlege,,,,,,,,,,,,,,,,,,,,1643258331937624066,,,,,https://twitter.com/ThinkerMichelle/status/1643258331937624066,true,6c9ebe87,en
190,Tue Apr 04 13:56:00 +00:00 2023,"#TeamTFVC testimony below ??"" ""#NotExtremelySafe #Gardasil #HB989 #txlege",8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,3,#TeamTFVC,#NotExtremelySafe,#Gardasil,#HB989,#txlege,,,,,,,,,,,,,,,,,,,,1643251113049595905,,,,,https://twitter.com/TXforVaxChoice/status/1643251113049595905,true,0f3e9762,en
197,Thu Jul 13 18:29:00 +00:00 2023,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus | LE BLOG DE PATRICE GIBERTIE pgibertie.com/2023/07/13/danÖ,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#papillomavirus,,,,,,,,,,,,,,,,,,,,,,,,1679558809818112030,https://pgibertie.com/2023/07/13/danger-pour-les-ados-a-la-rentree-2023-le-gouvernement-pousse-a-la-vaccination-contre-le-papillomavirus-gardasil-vaccin-dangereux-et-inefficace-qui-favorise-de-nouveaux-virus/,,,,https://twitter.com/laurentbriot/status/1679558809818112030,true,c0e9cf20,fr
200,Fri Jul 07 17:22:00 +00:00 2023,"Pareil que pendant la pandÈmie, mÍme dilemme ‡ prÈvoir : injectÈ ou ÈjectÈ ?"" ""#Vaccin #Gardasil",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,257b524a,2a034c36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Vaccin,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1677367425975607296,,,,,https://twitter.com/GMarivint/status/1677367425975607296,true,226efba5,fr
202,Tue Apr 04 09:41:00 +00:00 2023,"#Gardasil ""Le tribunal ordonne ‡ Merck de remettre les bases de donnÈes d'ÈvÈnements indÈsirables Gardasil Un tribunal de district de Caroline du Nord a ordonnÈ au gÈant pharmaceutique Merck de remettre toutes ses bases de donnÈes d'ÈvÈnements indÈsirables Gardasil aux plaignants poursuivant le gÈant pharmaceutique pour des blessures prÈtendument causÈes par le vaccin contre le VPH. [...] Les bases de donnÈes, qui comprennent des informations provenant du systËme de notification et d'examen des ÈvÈnements indÈsirables de Merck (MARRS) - la version de Merck du systËme de notification des ÈvÈnements indÈsirables liÈs aux vaccins ( VAERS ) - devraient contenir tous les rapports relatifs aux ÈvÈnements indÈsirables du Gardasil soumis par les mÈdecins, les patients et les publications. , a dÈclarÈ l'avocat des plaignants Michael Baum ‡ The Defender . ""#Merck a jusqu'‡ prÈsent refusÈ de mettre l'intÈgralitÈ des bases de donnÈes MARRS ‡ la disposition des avocats des plaignants."""""""""" ""childrenshealthdefense.org/dÖ",132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,77,#Gardasil,#Merck,,,,,,,,,,,,,,,,,,,,,,,1643187080892149761,https://childrenshealthdefense.org/defender/merck-hpv-gardasil-vaccine-adverse-event-database-court,,,,https://twitter.com/CorinneReverbel/status/1643187080892149761,true,fb9cc2e4,fr
213,Tue Apr 04 01:01:00 +00:00 2023,"According to Donna Howard, thereís absolutely nothing to worry about when it comes to the HPV shot. "" Do you agree? Be sure to let her know in the replies ?? ""#NotExtremelySafe #Gardasil #HB989 #txlege @DonnaHowardTX",15,631ae441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,4,#NotExtremelySafe,#Gardasil,#HB989,#txlege,,,,,,,,,,,,,,,,,,,,,1643056202811670531,,,,,https://twitter.com/TXforVaxChoice/status/1643056202811670531,true,0f3e9762,en
229,Sun Apr 16 19:36:00 +00:00 2023,#hpv #hpvawareness #hpvvaccineeducation #hpvvirus #epochtimes #gardasil #fda #cdc @epochtimes @fda @cdcgov,0,e1eeacef,52ac50b0,62502594,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#hpv,#hpvawareness,#hpvvaccineeducation,#hpvvirus,#epochtimes,#gardasil,#fda,#cdc,,,,,,,,,,,,,,,,,1647685434024275968,,,,,https://twitter.com/podcast_BP/status/1647685434024275968,true,f8319d75,en
234,Sun Apr 16 19:35:00 +00:00 2023,"Episode 90 available now on @spotify "" ""#spotify #90 #ninety #podcast #rbftt #hpv #hpvawareness #hpvvaccineeducation #hpvvirus #epochtimes #gardasil #fda #cdc @epochtimes @fda @cdcgov",0,bdbc227c,e1eeacef,52ac50b0,62502594,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#spotify,#90,#ninety,#podcast,#rbftt,#hpv,#hpvawareness,#hpvvaccineeducation,#hpvvirus,#epochtimes,#gardasil,#fda,#cdc,,,,,,,,,,,,1647685256500350976,,,,,https://twitter.com/podcast_BP/status/1647685256500350976,true,f8319d75,en
256,Mon May 08 02:23:00 +00:00 2023,"Young Woman Sues Merckóthe #HPVVaccine Meant to Stop #CervicalCancer, Actually Causes the Disease"" #RightToKnow #InformedConsent #Gardasil ""piped.video/watch?v=_4Zm1qviÖ",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#HPVVaccine,"#CervicalCancer,",#RightToKnow,#InformedConsent,#Gardasil,,,,,,,,,,,,,,,,,,,,1655397897150795776,https://piped.video/watch?v=_4Zm1qviqdI,,,,https://twitter.com/avoiceforchoice/status/1655397897150795776,true,2e55b8d9,en
